zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,precise_latitude,precise_longitude,latitude_min,latitude_max,longitude_min,longitude_max,world_region,country,decommissioned,estimated_population,notes,area_land,population_count_100,housing_unit_count_100,white,black_or_african_american,american_indian_or_alaskan_native,asian,native_hawaiian_and_other_pacific_islander,other_race,two_or_more_races,total_male_population,total_female_population,pop_under_10,pop_10_to_19,pop_20_to_29,pop_30_to_39,pop_40_to_49,pop_50_to_59,pop_60_to_69,pop_70_to_79,pop_80_plus
00544,UNIQUE,Holtsville,,"Irs Service Center",NY,"Suffolk County",America/New_York,631,40.81,-73.04,,,,,,,NA,US,0,0,,,,,,,,,,,,,,,,,,,,,,
00601,STANDARD,Adjuntas,,"Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin",PR,Adjuntas,America/Puerto_Rico,"787,939",18.16,-66.72,18.1779,-66.7644,18.1119,18.2503,-66.8364,-66.6593,NA,US,0,0,,166659789,18570,7744,17285,572,65,5,1,402,240,9078,9492,2387,2998,2583,2182,2466,2428,1906,1047,573
00602,STANDARD,Aguada,,"Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica",PR,,,787,18.38,-67.18,18.3639,-67.1792,18.3127,18.4175,-67.2404,-67.1264,NA,US,0,0,,79288158,41520,18073,35980,2210,129,22,0,2181,998,20396,21124,4779,6292,5642,5350,6085,5820,4212,2366,974
00603,STANDARD,Aguadilla,Ramey,"Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde",PR,Aguadilla,America/Puerto_Rico,787,18.43,-67.15,18.4446,-67.1286,18.3859,18.5132,-67.1694,-67.0564,NA,US,0,0,,81880442,54689,25653,45348,4141,140,85,4,3614,1357,26597,28092,6684,7771,7094,7095,6919,6896,6566,3816,1848
00604,"PO BOX",Aguadilla,Ramey,,PR,,,,18.43,-67.15,,,,,,,NA,US,0,0,,,,,,,,,,,,,,,,,,,,,,
00605,"PO BOX",Aguadilla,,,PR,,,,18.43,-67.15,,,,,,,NA,US,0,0,,,,,,,,,,,,,,,,,,,,,,
00606,STANDARD,Maricao,,"Urb San Juan Bautista",PR,Maricao,America/Puerto_Rico,"787,939",18.18,-66.98,18.1727,-66.948,18.1106,18.2079,-67.0515,-66.8368,NA,US,0,0,,109580061,6615,2877,5883,314,27,3,8,280,100,3268,3347,845,997,975,797,868,884,698,363,188
00610,STANDARD,Anasco,,"Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio",PR,,,787,18.28,-67.14,18.2841,-67.1017,18.2491,18.324,-67.2275,-67.0379,NA,US,0,0,,93021467,29016,12618,23796,2083,100,37,4,2175,821,14104,14912,3413,4388,3645,3884,4028,3641,3258,1942,817
00611,"PO BOX",Angeles,,,PR,,,,18.28,-66.79,,,,,,,NA,US,0,0,"no NWS data, ",,,,,,,,,,,,,,,,,,,,,
00612,STANDARD,Arecibo,,"Alt De Juncos, Alt De San Felipe, Bda Duhamel, Bo El Pasaje, Bo Islote, Bo Islote Ii, Bo Jarealitos, Bo Obrero, Bo Santana, Comunidad Buenos Aires, Est De Arecibo, Est De Balseiro, Ext Marisol, Ext Tanama, Ext Villa Los Santos I, Ext Villa Los Santos Ii, Hacienda Toledo, Jard De Arecibo, Jard De San Rafael, Parc Mattey, Parc Navas, Parc Perez, Parc Rodriguez Olmo, Parq De Jardines, Paseos Reales, Repto Marquez, Repto San Jose, Repto San Juan, Sect Abra, Sect El Cano, Sect Las Animas, Sect Muelle, Urb Arecibo Gdns, Urb College Park Iv, Urb Costas Del Atlantico, Urb El Paraiso, Urb Factor, Urb Garcia, Urb Garden View, Urb La Mucura, Urb Las Brisas, Urb Los Llanos, Urb Los Pinos, Urb Los Pinos Ii, Urb Marisol, Urb Martell, Urb Ocean Vw, Urb Radioville, Urb Regional, Urb San Daniel, Urb San Felipe, Urb San Lorenzo, Urb Tanama, Urb University Gdns, Urb Victor Rojas 1, Urb Victor Rojas 2, Urb Villamar, Urb Zeno Gandia, Valle Escondido, Villa Los Santos, Villa Lucia, Villa Serena, Villa Toledo, Villas Del Capitan, Villas Del Sol, Vista Azul, Vista Del Atlantico",PR,Arecibo,America/Puerto_Rico,787,18.45,-66.73,18.3963,-66.732,18.3152,18.498,-66.7707,-66.578,NA,US,0,0,,175106243,67010,30992,56488,4130,241,79,6,3964,2102,31735,35275,7687,9578,8415,8497,8791,8143,7910,5189,2800
